"Date","year","month","day","Pandemic_Phase","Transport_Mode","Total_Ridership","Usage_Ratio"
2020-03-21,2020,3,21,"Peak-Lockdown","StatenIslandRailway",1044,0.21
2020-03-21,2020,3,21,"Peak-Lockdown","AccessARide",6467,0.38
2020-03-21,2020,3,21,"Peak-Lockdown","BridgesTunnels",382992,0.44
2020-03-22,2020,3,22,"Peak-Lockdown","Subway",408723,0.18
2020-03-22,2020,3,22,"Peak-Lockdown","Bus",73517,0.07
2020-03-22,2020,3,22,"Peak-Lockdown","LIRR",8891,0.1
2020-03-22,2020,3,22,"Peak-Lockdown","MetroNorth",20830,0.22
2020-03-22,2020,3,22,"Peak-Lockdown","StatenIslandRailway",641,0.2
2020-03-22,2020,3,22,"Peak-Lockdown","AccessARide",4824,0.27
2020-03-22,2020,3,22,"Peak-Lockdown","BridgesTunnels",277050,0.34
2020-03-23,2020,3,23,"Peak-Lockdown","Subway",709499,0.13
2020-03-23,2020,3,23,"Peak-Lockdown","Bus",59321,0.03
2020-03-23,2020,3,23,"Peak-Lockdown","LIRR",30564,0.1
2020-03-23,2020,3,23,"Peak-Lockdown","MetroNorth",139285,0.51
2020-03-23,2020,3,23,"Peak-Lockdown","StatenIslandRailway",1639,0.1
2020-03-23,2020,3,23,"Peak-Lockdown","AccessARide",9902,0.33
2020-03-23,2020,3,23,"Peak-Lockdown","BridgesTunnels",361513,0.39
2020-03-24,2020,3,24,"Peak-Lockdown","Subway",741587,0.13
2020-03-24,2020,3,24,"Peak-Lockdown","Bus",60334,0.03
2020-03-24,2020,3,24,"Peak-Lockdown","LIRR",29785,0.1
2020-03-24,2020,3,24,"Peak-Lockdown","MetroNorth",139194,0.5
2020-03-24,2020,3,24,"Peak-Lockdown","StatenIslandRailway",1727,0.11
2020-03-24,2020,3,24,"Peak-Lockdown","AccessARide",9133,0.31
2020-03-24,2020,3,24,"Peak-Lockdown","BridgesTunnels",395493,0.43
2020-03-25,2020,3,25,"Peak-Lockdown","Subway",690032,0.12
2020-03-25,2020,3,25,"Peak-Lockdown","Bus",51769,0.02
2020-03-25,2020,3,25,"Peak-Lockdown","LIRR",26143,0.08
2020-03-25,2020,3,25,"Peak-Lockdown","MetroNorth",138239,0.5
2020-03-25,2020,3,25,"Peak-Lockdown","StatenIslandRailway",1572,0.1
2020-03-25,2020,3,25,"Peak-Lockdown","AccessARide",9512,0.32
2020-03-25,2020,3,25,"Peak-Lockdown","BridgesTunnels",375767,0.41
2020-03-26,2020,3,26,"Peak-Lockdown","Subway",680360,0.12
2020-03-26,2020,3,26,"Peak-Lockdown","Bus",49970,0.02
2020-03-26,2020,3,26,"Peak-Lockdown","LIRR",23809,0.08
2020-03-26,2020,3,26,"Peak-Lockdown","MetroNorth",138668,0.5
2020-03-26,2020,3,26,"Peak-Lockdown","StatenIslandRailway",1563,0.1
2020-03-26,2020,3,26,"Peak-Lockdown","AccessARide",8795,0.3
2020-03-26,2020,3,26,"Peak-Lockdown","BridgesTunnels",390117,0.42
2020-03-27,2020,3,27,"Peak-Lockdown","Subway",656817,0.12
2020-03-27,2020,3,27,"Peak-Lockdown","Bus",45514,0.02
2020-03-27,2020,3,27,"Peak-Lockdown","LIRR",20355,0.06
2020-03-27,2020,3,27,"Peak-Lockdown","MetroNorth",138903,0.5
2020-03-27,2020,3,27,"Peak-Lockdown","StatenIslandRailway",1495,0.09
2020-03-27,2020,3,27,"Peak-Lockdown","AccessARide",8409,0.28
2020-03-27,2020,3,27,"Peak-Lockdown","BridgesTunnels",396777,0.43
2020-03-28,2020,3,28,"Peak-Lockdown","Subway",332393,0.11
2020-03-28,2020,3,28,"Peak-Lockdown","Bus",19745,0.01
2020-03-28,2020,3,28,"Peak-Lockdown","LIRR",5279,0.05
2020-03-28,2020,3,28,"Peak-Lockdown","MetroNorth",19088,0.14
2020-03-28,2020,3,28,"Peak-Lockdown","StatenIslandRailway",600,0.12
2020-03-28,2020,3,28,"Peak-Lockdown","AccessARide",4491,0.27
2020-03-28,2020,3,28,"Peak-Lockdown","BridgesTunnels",240702,0.28
2020-03-29,2020,3,29,"Peak-Lockdown","Subway",263700,0.12
2020-03-29,2020,3,29,"Peak-Lockdown","Bus",14307,0.01
2020-03-29,2020,3,29,"Peak-Lockdown","LIRR",4358,0.05
2020-03-29,2020,3,29,"Peak-Lockdown","MetroNorth",18152,0.19
2020-03-29,2020,3,29,"Peak-Lockdown","StatenIslandRailway",419,0.13
2020-03-29,2020,3,29,"Peak-Lockdown","AccessARide",3374,0.19
2020-03-29,2020,3,29,"Peak-Lockdown","BridgesTunnels",197154,0.24
2020-03-30,2020,3,30,"Peak-Lockdown","Subway",545215,0.1
2020-03-30,2020,3,30,"Peak-Lockdown","Bus",33659,0.02
2020-03-30,2020,3,30,"Peak-Lockdown","LIRR",19741,0.06
2020-03-30,2020,3,30,"Peak-Lockdown","MetroNorth",137762,0.5
2020-03-30,2020,3,30,"Peak-Lockdown","StatenIslandRailway",1140,0.07
2020-03-30,2020,3,30,"Peak-Lockdown","AccessARide",8084,0.27
2020-03-30,2020,3,30,"Peak-Lockdown","BridgesTunnels",344689,0.37
2020-03-31,2020,3,31,"Peak-Lockdown","Subway",508106,0.09
2020-03-31,2020,3,31,"Peak-Lockdown","Bus",32211,0.01
2020-03-31,2020,3,31,"Peak-Lockdown","LIRR",16194,0.05
2020-03-31,2020,3,31,"Peak-Lockdown","MetroNorth",137464,0.5
2020-03-31,2020,3,31,"Peak-Lockdown","StatenIslandRailway",1043,0.07
2020-03-31,2020,3,31,"Peak-Lockdown","AccessARide",7672,0.26
2020-03-31,2020,3,31,"Peak-Lockdown","BridgesTunnels",337626,0.37
2020-04-01,2020,4,1,"Peak-Lockdown","Subway",513481,0.09
2020-04-01,2020,4,1,"Peak-Lockdown","Bus",29373,0.01
2020-04-01,2020,4,1,"Peak-Lockdown","LIRR",10548,0.03
2020-04-01,2020,4,1,"Peak-Lockdown","MetroNorth",9300,0.03
2020-04-01,2020,4,1,"Peak-Lockdown","StatenIslandRailway",720,0.04
2020-04-01,2020,4,1,"Peak-Lockdown","AccessARide",8151,0.28
2020-04-01,2020,4,1,"Peak-Lockdown","BridgesTunnels",342221,0.36
2020-04-02,2020,4,2,"Peak-Lockdown","Subway",485586,0.09
2020-04-02,2020,4,2,"Peak-Lockdown","Bus",26788,0.01
2020-04-02,2020,4,2,"Peak-Lockdown","LIRR",10057,0.03
2020-04-02,2020,4,2,"Peak-Lockdown","MetroNorth",9492,0.03
2020-04-02,2020,4,2,"Peak-Lockdown","StatenIslandRailway",882,0.05
2020-04-02,2020,4,2,"Peak-Lockdown","AccessARide",7077,0.24
2020-04-02,2020,4,2,"Peak-Lockdown","BridgesTunnels",339734,0.36
2020-04-03,2020,4,3,"Peak-Lockdown","Subway",483357,0.09
2020-04-03,2020,4,3,"Peak-Lockdown","Bus",24418,0.01
